nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
RICARDO TEOBALDO CAVALCANTI,M,67,9,16,6,4,15,18/10/1965,"352.070,43","1.112.441,45","33.763,00","75.838,70","29.031,88","30.495,58","37.062,21","29.669,48","33.057,30","33.767,66","29.421,01","26.958,82","26.767,79","0,00",-,"111.120,99","111.212,54","111.152,88","111.108,83","111.465,56","110.890,32","111.508,05","111.481,05","111.392,77","111.108,46",-,-
BENEDITO ROBERTO ALVES FERREIRA,M,71,5,2,33,2,26,27/05/1960,"230.098,88","1.079.408,08","33.763,00",-,-,"33.796,04","35.983,32","30.363,13","37.144,68","34.164,65","28.065,77","19.938,52","10.559,32","83,45",-,"109.132,76","107.234,64","96.888,00","107.935,24","105.185,20","107.935,24","110.811,59","111.501,92","111.501,92","111.281,57",-,-
ROBERTO ALVES DE LUCENA,M,90,1,1,57,5,32,18/04/1966,"344.710,55","1.101.716,29","33.763,00","27.341,46","32.606,18","46.347,40","44.824,77","61.804,31","33.506,21","25.809,69","16.752,34","15.560,73","37.298,76","2.858,70",-,"111.550,40","111.427,12","111.550,39","103.862,46","106.316,60","110.721,82","111.475,46","111.586,80","111.586,80","111.638,44",-,-
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,M,87,5,0,89,5,5,12/12/1977,"243.424,52","1.074.590,09","33.763,00","37.494,76","31.595,53","46.417,62","55.888,64","42.559,37","7.585,90","10.901,08","10.003,24","1,97","976,41","0,00",-,"110.810,36","110.810,36","110.810,36","110.810,36","110.810,36","110.810,36","102.087,70","102.087,70","102.087,70","103.464,83",-,-
RODRIGO COELHO,M,92,0,0,81,5,4,29/06/1980,"119.207,06","1.107.951,80","33.763,00","12.678,98","21.407,72","28.457,50","25.418,03","13.620,70","7.973,08","3.227,19","8,21","1,82","6.413,83","0,00",-,"109.154,71","111.314,40","111.501,02","111.586,72","111.586,72","110.156,87","109.978,97","109.732,04","111.665,67","111.274,68",-,-
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,M,6,4,0,0,0,0,12/06/1970,"8.507,74","85.453,97","33.763,00",-,-,-,-,-,-,-,-,-,"8.157,72","350,02",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","85.453,97",-,-
RODRIGO BATISTA DE CASTRO,M,85,4,3,19,4,24,15/07/1971,"310.220,15","1.053.984,46","33.763,00","29.116,39","40.257,88","39.793,79","46.598,49","42.822,40","40.201,06","31.887,58","7.204,14","7.391,07","23.409,79","1.537,56",-,"110.306,95","110.306,95","110.761,50","111.520,32","111.635,37","107.830,91","100.648,62","97.447,42","96.783,22","96.743,20",-,-
RONALDO MANCHADO MARTINS,M,11,0,4,0,0,0,21/01/1978,"124.053,44","0,00","33.763,00",-,-,-,-,-,-,-,"33.317,39","30.426,34","21.309,71","39.000,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
RONALDO CARLETTO,M,88,4,0,5,3,16,05/01/1960,"276.954,35","1.113.060,98","33.763,00","39.853,86","37.423,24","50.559,78","45.779,44","35.321,41","16.673,29","17.006,88","22.617,74","7.609,31","2.915,68","1.193,72",-,"111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","108.778,61",-,-
ROGÉRIO MENDONÇA,M,84,5,3,46,2,3,27/01/1953,"284.933,89","1.100.712,56","33.763,00","19.071,55","19.591,03","41.184,63","30.598,89","23.209,03","32.032,33","30.699,45","29.926,43","38.113,63","18.450,40","2.056,52",-,"109.169,18","108.681,15","110.025,02","110.179,58","111.462,30","109.656,30","110.879,89","109.964,15","110.926,70","109.768,29",-,-
