nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
FLÁVIA CAROLINA PÉRES,F,60,5,4,0,1,3,21/01/1980,"97.678,83",0%,"33.763,00",-,-,"0,00","10.563,71","6.864,73","18.634,34","15.284,18","16.185,53","14.441,81","15.704,53",-,-,"0,00","0,00","1.906,24","79.195,45","70.338,95","81.408,68","85.648,32","88.827,97","88.827,97","88.827,97","0,00",-
GLEISI HELENA HOFFMANN,F,66,26,0,3,1,4,06/09/1965,"356.166,15",0.44797512315480476%,"33.763,00","48.759,04","47.652,40","59.416,08","43.129,42","55.375,62","20.852,42","26.211,68","23.293,93","17.899,82","13.254,54",-,-,"111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","321,20",-
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,86,6,0,123,4,0,26/04/1969,"292.573,53",0.08010586984249006%,"33.763,00","31.961,04","33.702,59","35.431,93","33.829,17","33.636,11","29.972,17","26.739,93","26.234,48","22.945,49","18.042,05",-,-,"110.555,68","110.555,68","110.555,68","111.091,22","110.555,68","110.994,42","111.182,00","111.580,78","111.580,78","111.580,78","78,57",-
FERNANDA MELCHIONNA E SILVA,F,88,1,3,54,0,9,02/02/1984,"300.960,05",3.1624218101308075%,"33.763,00","20.500,17","21.194,89","56.736,14","70.363,57","41.442,21","28.035,03","34.736,50","7.126,13","2.302,50","13.667,64",-,-,"108.969,03","110.770,20","111.295,57","111.471,67","111.471,67","111.005,21","108.790,95","108.173,01","107.268,84","100.470,41","4.855,27",-
GREYCE DE QUEIROZ ELIAS,F,77,12,3,28,4,18,15/12/1981,"174.934,58",0.18963360661996811%,"33.763,00","14.671,44","21.074,80","21.705,97","45.590,67","35.221,54","15.599,72","12.425,68","2.786,62","2.040,22","3.377,12",-,-,"101.294,97","95.517,25","104.632,97","107.931,21","104.398,53","110.975,70","110.129,51","110.600,89","111.580,83","111.573,39","440,80",-
JANDIRA FEGHALI,F,91,0,1,41,0,28,17/05/1957,"302.788,13",0.9326848109429184%,"33.763,00","16.677,60","41.606,05","42.043,96","33.766,08","41.561,42","35.266,15","30.544,63","18.967,72","23.146,67","18.355,15",-,-,"111.186,43","110.346,75","110.883,15","110.883,15","110.883,15","110.883,15","106.843,71","109.640,24","105.683,13","103.792,22","852,70",-
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,35,0,4,0,0,0,23/04/1966,"160.103,58",0.041285254510763106%,"33.763,00","33.126,14","37.905,45","54.717,25",-,"-799,73",-,-,"17.561,17","8.098,80","9.441,57",-,-,"111.653,55","110.382,33","111.176,32","111.235,02","111.235,02","111.235,02","111.235,02","111.235,02","111.304,78","111.653,55","52,93",-
JOICE CRISTINA HASSELMANN,F,87,5,0,57,3,3,29/01/1978,"301.731,55",0%,"33.763,00","25.636,10","21.173,13","72.944,98","44.859,38","50.332,77","25.702,26","16.939,86","18.265,67","20.711,16","5.166,24",-,-,"99.430,88","106.641,61","98.487,95","108.786,73","101.062,57","110.597,86","108.539,98","102.509,19","97.950,82","97.950,82","0,00",-
DIRLAINE JAQUELINE CASSOL,F,81,8,3,47,8,15,03/12/1974,"301.704,59",0.6097374804529332%,"33.763,00","38.881,19","35.836,11","33.841,17","71.115,17","57.249,08","20.997,72","21.444,70","11.534,22","2.240,92","7.424,00",-,-,"111.665,59","111.362,29","107.986,55","111.208,12","110.884,32","110.180,25","108.177,15","110.472,02","111.321,85","108.397,68","1.140,31",-
LAURIETE RODRIGUES DE JESUS,F,89,3,0,48,2,2,23/02/1970,"274.661,02",3.685112583223362%,"33.763,00","28.596,39","36.787,02","28.706,65","49.288,05","38.112,66","30.104,05","18.543,11","15.764,41","15.009,24","7.961,74",-,-,"104.287,85","105.889,29","107.644,06","107.976,91","107.644,06","100.506,22","110.346,11","111.471,61","111.471,61","111.471,61","5.787,70",-
JOENIA BATISTA DE CARVALHO,F,83,9,0,98,12,15,20/04/1973,"407.075,81",0.38854170692285134%,"33.763,00","36.130,43","59.868,30","85.352,21","35.824,32","48.106,28","43.428,93","39.248,21","28.261,77","13.771,27","16.656,80",-,-,"91.545,36","93.767,62","92.129,06","79.164,66","80.310,66","97.275,18","102.548,82","99.850,50","95.697,66","96.608,80","427,29",-
LEANDRE DAL PONTE,F,80,10,2,31,4,23,20/12/1975,"363.544,56",2.3519218082319013%,"33.763,00","30.663,14","49.384,33","39.707,22","55.109,67","42.738,34","32.174,71","34.082,73","28.823,07","17.999,54","31.319,22",-,-,"108.159,67","108.159,67","109.633,48","109.791,39","109.791,39","110.801,97","109.549,18","111.428,41","111.307,87","111.307,87","1.542,59",-
JESSICA ROJAS SALES,F,42,45,5,0,16,2,28/11/1980,"372.946,86",0%,"33.763,00","36.557,22","42.553,73","47.072,55","58.428,19","56.770,07","3.133,62","11.486,12","8.024,13","2.921,23","106.000,00",-,-,"111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.571,11","111.647,46","111.647,46","0,00",-
LEDA MARIA SADALA BRITO,F,72,18,2,24,8,15,11/06/1966,"358.256,91",0.2894036246923199%,"33.763,00","32.892,40","30.026,99","54.798,85","51.266,85","53.049,21","41.748,71","31.911,86","37.292,55","15.145,93","9.778,56",-,-,"111.429,13","111.306,30","109.662,60","110.017,93","107.931,96","110.446,45","110.633,94","109.994,10","111.659,63","108.861,12","345,00",-
LIZIANE BAYER DA COSTA,F,92,0,0,54,1,18,24/01/1981,"432.416,41",47.34682070142509%,"33.763,00","24.410,68","44.680,51","52.608,27","60.599,67","52.869,92","33.727,59","34.144,01","32.890,25","31.283,06","49.719,23",-,-,"109.492,14","104.592,92","102.932,25","104.044,41","102.694,30","103.593,63","105.180,10","107.815,81","109.597,20","109.597,20","15.483,22",-
LÍDICE DA MATA E SOUZA,F,89,3,0,56,4,0,12/03/1956,"312.474,98",1.0138919004400215%,"33.763,00","24.968,53","36.055,08","41.685,69","64.741,89","36.945,93","25.591,94","29.647,64","17.038,04","9.156,67","25.337,58",-,-,"105.717,75","109.880,24","107.918,25","111.089,52","107.472,66","111.089,52","111.089,52","111.089,52","111.089,52","111.089,52","1.305,99",-
LUISA CANZIANI DOS SANTOS SILVEIRA,F,82,0,10,18,0,48,11/04/1996,"286.024,63",0.0050731502466290854%,"33.763,00","27.680,49","45.240,66","36.807,66","40.742,27","34.716,65","35.801,06","23.760,78","18.969,09","8.973,68","13.325,09",-,-,"111.489,76","107.944,29","101.185,89","110.764,80","106.123,31","108.871,95","100.476,78","99.154,41","109.664,15","110.012,04","7,20",-
